fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
2015,car,0.77,car_268,1133,297,1210,363,no,0,0,0,0,0,
2015,car,0.64,car_274,1435,315,1512,379,no,0,0,0,0,0,
2015,motorcycle,0.48,motorcycle_273,351,245,610,659,no,0,0,0,0,0,
2016,car,0.67,car_253,1290,309,1351,360,no,0,0,0,0,0,
2016,car,0.77,car_268,1133,297,1210,363,no,0,0,0,0,0,
2016,car,0.64,car_274,1435,316,1512,379,no,0,0,0,0,0,
2017,car,0.69,car_253,1288,309,1350,360,no,0,0,0,0,0,
2017,car,0.76,car_268,1132,297,1211,363,no,0,0,0,0,0,
2017,car,0.64,car_274,1436,315,1512,379,no,0,0,0,0,0,
2018,car,0.69,car_253,1289,308,1350,360,no,0,0,0,0,0,
2018,car,0.77,car_268,1131,297,1211,364,no,0,0,0,0,0,
2018,car,0.64,car_274,1436,315,1512,378,no,0,0,0,0,0,
2019,car,0.69,car_253,1288,308,1350,360,no,0,0,0,0,0,
2019,car,0.76,car_268,1131,298,1211,364,no,0,0,0,0,0,
2019,car,0.64,car_274,1436,315,1512,378,no,0,0,0,0,0,
2020,car,0.69,car_253,1288,308,1350,360,no,0,0,0,0,0,
2020,car,0.75,car_268,1130,298,1212,364,no,0,0,0,0,0,
2020,car,0.64,car_274,1436,315,1511,378,no,0,0,0,0,0,
2021,car,0.70,car_253,1289,307,1350,360,no,0,0,0,0,0,
2021,car,0.76,car_268,1130,298,1211,365,no,0,0,0,0,0,
2021,car,0.64,car_274,1436,315,1511,379,no,0,0,0,0,0,
2022,car,0.65,car_253,1290,308,1349,359,no,0,0,0,0,0,
2022,car,0.75,car_268,1130,299,1211,365,no,0,0,0,0,0,
2022,car,0.63,car_274,1436,316,1511,379,no,0,0,0,0,0,
2023,car,0.67,car_253,1288,308,1347,359,no,0,0,0,0,0,
2023,car,0.73,car_268,1130,298,1211,365,no,0,0,0,0,0,
2023,car,0.62,car_274,1436,316,1511,379,no,0,0,0,0,0,
2024,car,0.68,car_253,1288,308,1346,358,no,0,0,0,0,0,
2024,car,0.74,car_268,1129,298,1212,365,no,0,0,0,0,0,
2024,car,0.62,car_274,1436,316,1511,378,no,0,0,0,0,0,
2025,car,0.67,car_253,1289,308,1345,358,no,0,0,0,0,0,
2025,car,0.75,car_268,1127,297,1213,368,no,0,0,0,0,0,
2025,car,0.62,car_274,1436,316,1511,379,no,0,0,0,0,0,
2026,car,0.66,car_253,1287,309,1343,358,no,0,0,0,0,0,
2026,car,0.76,car_268,1128,297,1210,367,no,0,0,0,0,0,
2026,car,0.62,car_274,1436,316,1511,379,no,0,0,0,0,0,
2027,car,0.65,car_253,1285,309,1343,358,no,0,0,0,0,0,
2027,car,0.75,car_268,1127,297,1208,368,no,0,0,0,0,0,
2027,car,0.62,car_274,1436,316,1512,379,no,0,0,0,0,0,
2028,car,0.66,car_253,1284,309,1343,358,no,0,0,0,0,0,
2028,car,0.77,car_268,1125,296,1208,370,no,0,0,0,0,0,
2028,car,0.62,car_274,1436,316,1512,379,no,0,0,0,0,0,
2029,car,0.67,car_253,1282,309,1343,358,no,0,0,0,0,0,
2029,car,0.77,car_268,1123,295,1208,371,no,0,0,0,0,0,
2029,car,0.61,car_274,1436,315,1512,379,no,0,0,0,0,0,
2030,car,0.65,car_253,1281,309,1343,358,no,0,0,0,0,0,
2030,car,0.77,car_268,1123,295,1208,371,no,0,0,0,0,0,
2030,car,0.63,car_274,1436,315,1512,379,no,0,0,0,0,0,
2030,person,0.69,person_273,0,185,145,607,no,0,0,0,0,0,
2031,car,0.64,car_253,1280,309,1342,358,no,0,0,0,0,0,
2031,car,0.76,car_268,1122,295,1207,371,no,0,0,0,0,0,
2031,car,0.63,car_274,1436,315,1512,379,no,0,0,0,0,0,
2031,person,0.73,person_273,0,188,177,605,no,0,0,0,0,0,
2032,car,0.66,car_253,1280,309,1342,358,no,0,0,0,0,0,
2032,car,0.77,car_268,1122,295,1207,372,no,0,0,0,0,0,
2032,car,0.62,car_274,1436,315,1512,379,no,0,0,0,0,0,
2032,person,0.75,person_273,35,195,209,597,no,0,0,0,0,0,
2033,car,0.66,car_253,1280,309,1342,357,no,0,0,0,0,0,
2033,car,0.76,car_268,1122,295,1207,372,no,0,0,0,0,0,
2033,car,0.61,car_274,1436,315,1512,378,no,0,0,0,0,0,
2033,person,0.75,person_273,83,198,253,591,no,0,0,0,0,0,
2034,car,0.63,car_253,1280,309,1341,356,no,0,0,0,0,0,
2034,car,0.77,car_268,1122,295,1206,373,no,0,0,0,0,0,
2034,car,0.60,car_274,1436,315,1512,378,no,0,0,0,0,0,
2034,person,0.75,person_273,139,213,299,578,no,0,0,0,0,0,
2035,car,0.63,car_253,1280,309,1341,355,no,0,0,0,0,0,
2035,car,0.78,car_268,1121,295,1205,374,no,0,0,0,0,0,
2035,car,0.59,car_274,1436,315,1512,378,no,0,0,0,0,0,
2035,person,0.78,person_273,189,213,341,565,no,0,0,0,0,0,
2036,car,0.63,car_253,1280,309,1341,355,no,0,0,0,0,0,
2036,car,0.78,car_268,1121,294,1205,375,no,0,0,0,0,0,
2036,car,0.60,car_274,1436,314,1512,378,no,0,0,0,0,0,
2036,person,0.77,person_273,236,216,378,561,no,0,0,0,0,0,
2037,car,0.65,car_253,1280,309,1341,355,no,0,0,0,0,0,
2037,car,0.79,car_268,1120,295,1205,375,no,0,0,0,0,0,
2037,car,0.59,car_274,1436,314,1512,378,no,0,0,0,0,0,
2037,person,0.70,person_273,276,221,411,551,no,0,0,0,0,0,
2038,car,0.63,car_253,1279,308,1341,354,no,0,0,0,0,0,
2038,car,0.78,car_268,1119,295,1204,375,no,0,0,0,0,0,
2038,car,0.57,car_274,1436,314,1512,378,no,0,0,0,0,0,
2038,person,0.79,person_273,311,226,444,539,no,0,0,0,0,0,
2039,car,0.63,car_253,1279,308,1341,354,no,0,0,0,0,0,
2039,car,0.78,car_268,1118,295,1203,375,no,0,0,0,0,0,
2039,car,0.58,car_274,1436,315,1512,378,no,0,0,0,0,0,
2039,person,0.82,person_273,346,226,473,535,no,0,0,0,0,0,
2040,car,0.62,car_253,1279,308,1340,354,no,0,0,0,0,0,
2040,car,0.77,car_268,1118,295,1202,375,no,0,0,0,0,0,
2040,car,0.58,car_274,1436,315,1512,378,no,0,0,0,0,0,
2040,person,0.76,person_273,375,228,495,525,no,0,0,0,0,0,
2041,car,0.62,car_253,1279,308,1340,353,no,0,0,0,0,0,
2041,car,0.77,car_268,1115,295,1201,375,no,0,0,0,0,0,
2041,car,0.62,car_274,1436,315,1513,379,no,0,0,0,0,0,
2041,person,0.78,person_273,405,233,524,517,no,0,0,0,0,0,
2042,car,0.60,car_253,1279,308,1339,352,no,0,0,0,0,0,
2042,car,0.77,car_268,1113,295,1201,376,no,0,0,0,0,0,
2042,car,0.62,car_274,1436,315,1513,379,no,0,0,0,0,0,
2042,person,0.78,person_273,437,229,547,509,no,0,0,0,0,0,
2043,car,0.61,car_253,1279,308,1338,352,no,0,0,0,0,0,
2043,car,0.79,car_268,1113,295,1200,376,no,0,0,0,0,0,
2043,car,0.62,car_274,1436,315,1513,379,no,0,0,0,0,0,
2043,person,0.76,person_273,459,231,571,501,no,0,0,0,0,0,
2044,car,0.61,car_253,1278,307,1338,352,no,0,0,0,0,0,
2044,car,0.77,car_268,1111,295,1200,377,no,0,0,0,0,0,
2044,car,0.61,car_274,1436,315,1513,379,no,0,0,0,0,0,
2044,person,0.69,person_273,483,238,592,496,no,0,0,0,0,0,
2045,car,0.60,car_253,1277,307,1337,352,no,0,0,0,0,0,
2045,car,0.76,car_268,1112,294,1199,380,no,0,0,0,0,0,
2045,car,0.61,car_274,1436,315,1513,379,no,0,0,0,0,0,
2045,person,0.72,person_273,507,237,607,495,no,0,0,0,0,0,
2046,car,0.59,car_253,1277,308,1336,351,no,0,0,0,0,0,
2046,car,0.78,car_268,1111,294,1199,381,no,0,0,0,0,0,
2046,car,0.61,car_274,1436,315,1513,379,no,0,0,0,0,0,
2046,person,0.66,person_273,528,239,619,491,no,0,0,0,0,0,
2047,car,0.60,car_253,1277,308,1336,351,no,0,0,0,0,0,
2047,car,0.79,car_268,1109,293,1198,383,no,0,0,0,0,0,
2047,car,0.59,car_274,1436,315,1513,378,no,0,0,0,0,0,
2047,person,0.63,person_273,544,243,635,485,no,0,0,0,0,0,
2048,car,0.60,car_253,1278,308,1337,351,no,0,0,0,0,0,
2048,car,0.78,car_268,1108,293,1198,383,no,0,0,0,0,0,
2048,car,0.60,car_274,1436,315,1513,379,no,0,0,0,0,0,
2048,person,0.66,person_273,565,248,650,482,no,0,0,0,0,0,
2049,car,0.59,car_253,1278,308,1337,351,no,0,0,0,0,0,
2049,car,0.78,car_268,1106,292,1197,384,no,0,0,0,0,0,
2049,car,0.60,car_274,1436,315,1513,378,no,0,0,0,0,0,
2049,person,0.66,person_273,579,254,671,478,no,0,0,0,0,0,
2050,car,0.55,car_253,1278,309,1336,350,no,0,0,0,0,0,
2050,car,0.79,car_268,1105,293,1195,385,no,0,0,0,0,0,
2050,car,0.60,car_274,1436,315,1513,379,no,0,0,0,0,0,
2050,person,0.71,person_273,593,255,689,470,no,0,0,0,0,0,
2051,car,0.55,car_253,1278,309,1337,349,no,0,0,0,0,0,
2051,car,0.80,car_268,1103,293,1195,385,no,0,0,0,0,0,
2051,car,0.60,car_274,1436,315,1513,379,no,0,0,0,0,0,
2051,person,0.69,person_273,610,258,702,467,no,0,0,0,0,0,
2052,car,0.51,car_253,1279,309,1336,348,no,0,0,0,0,0,
2052,car,0.81,car_268,1101,292,1194,388,no,0,0,0,0,0,
2052,car,0.61,car_274,1436,315,1513,379,no,0,0,0,0,0,
2052,person,0.64,person_273,623,260,716,463,no,0,0,0,0,0,
2053,car,0.46,car_253,1279,309,1335,348,no,0,0,0,0,0,
2053,car,0.80,car_268,1100,291,1194,387,no,0,0,0,0,0,
2053,car,0.60,car_274,1436,315,1512,379,no,0,0,0,0,0,
2053,person,0.69,person_273,642,251,732,464,no,0,0,0,0,0,
2054,car,0.43,car_253,1278,309,1334,347,no,0,0,0,0,0,
2054,car,0.79,car_268,1099,291,1193,388,no,0,0,0,0,0,
2054,car,0.61,car_274,1436,315,1512,379,no,0,0,0,0,0,
2054,person,0.71,person_273,668,253,738,457,no,0,0,0,0,0,
2055,car,0.80,car_268,1098,291,1192,389,no,0,0,0,0,0,
2055,car,0.61,car_274,1436,315,1512,378,no,0,0,0,0,0,
2055,person,0.66,person_273,683,255,751,454,no,0,0,0,0,0,
2056,car,0.79,car_268,1096,291,1192,390,no,0,0,0,0,0,
2056,car,0.62,car_274,1436,315,1512,378,no,0,0,0,0,0,
2056,person,0.58,person_273,694,258,763,452,no,0,0,0,0,0,
2057,car,0.81,car_268,1094,291,1192,391,no,0,0,0,0,0,
2057,car,0.61,car_274,1436,315,1512,378,no,0,0,0,0,0,
2057,person,0.63,person_273,702,256,775,447,no,0,0,0,0,0,
2058,car,0.80,car_268,1091,291,1193,391,no,0,0,0,0,0,
2058,car,0.61,car_274,1436,315,1512,378,no,0,0,0,0,0,
2058,person,0.59,person_273,715,257,784,448,no,0,0,0,0,0,
2059,car,0.82,car_268,1087,291,1192,391,no,0,0,0,0,0,
2059,car,0.62,car_274,1436,315,1512,378,no,0,0,0,0,0,
2059,person,0.60,person_273,724,256,791,444,no,0,0,0,0,0,
2060,car,0.81,car_268,1085,291,1191,391,no,0,0,0,0,0,
2060,car,0.62,car_274,1436,315,1512,378,no,0,0,0,0,0,
2060,person,0.61,person_273,732,259,804,439,no,0,0,0,0,0,
2061,car,0.81,car_268,1083,291,1191,392,no,0,0,0,0,0,
2061,car,0.62,car_274,1436,315,1512,378,no,0,0,0,0,0,
2061,person,0.64,person_273,742,257,813,439,no,0,0,0,0,0,
2062,car,0.79,car_268,1081,291,1191,393,no,0,0,0,0,0,
2062,car,0.63,car_274,1436,315,1512,379,no,0,0,0,0,0,
2062,person,0.67,person_273,752,259,826,432,no,0,0,0,0,0,
2063,car,0.80,car_268,1079,291,1190,393,no,0,0,0,0,0,
2063,car,0.63,car_274,1436,315,1512,379,no,0,0,0,0,0,
2063,person,0.69,person_273,761,259,832,434,no,0,0,0,0,0,
2064,car,0.79,car_268,1078,291,1189,392,no,0,0,0,0,0,
2064,car,0.63,car_274,1436,315,1512,379,no,0,0,0,0,0,
2064,person,0.66,person_273,774,259,838,430,no,0,0,0,0,0,
2065,car,0.79,car_268,1076,291,1188,394,no,0,0,0,0,0,
2065,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2065,person,0.71,person_273,783,264,846,423,no,0,0,0,0,0,
2066,car,0.80,car_268,1074,291,1188,395,no,0,0,0,0,0,
2066,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2066,person,0.70,person_273,789,264,852,424,no,0,0,0,0,0,
2067,car,0.79,car_268,1073,290,1188,396,no,0,0,0,0,0,
2067,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2067,person,0.55,person_273,799,269,857,422,no,0,0,0,0,0,
2068,car,0.79,car_268,1069,290,1189,395,no,0,0,0,0,0,
2068,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2068,person,0.63,person_273,808,269,867,420,no,0,0,0,0,0,
2069,car,0.79,car_268,1069,291,1188,396,no,0,0,0,0,0,
2069,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2069,person,0.68,person_273,817,271,873,420,no,0,0,0,0,0,
2070,car,0.80,car_268,1068,291,1188,399,no,0,0,0,0,0,
2070,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
