fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
262,car,0.76,car_14,336,201,411,283,no,0,0,0,0,0,
262,car,0.83,car_24,104,233,329,356,si,0.50,144,288,192,306,638DVC
263,car,0.86,car_1,433,213,659,422,si,0.61,507,316,612,341,6694GYV
263,car,0.77,car_14,337,201,413,282,no,0,0,0,0,0,
263,car,0.83,car_24,105,231,329,354,si,0.50,151,287,195,305,638DVC
264,car,0.85,car_1,434,212,658,422,si,0.61,506,315,617,341,6694GYV
264,car,0.79,car_14,339,201,414,281,no,0,0,0,0,0,
264,car,0.83,car_24,114,230,330,353,si,0.50,157,285,200,304,638DVC
265,car,0.85,car_1,433,210,658,422,si,0.61,506,315,619,341,6694GYV
265,car,0.79,car_14,340,202,415,280,no,0,0,0,0,0,
265,car,0.81,car_24,126,231,331,352,si,0.50,163,283,205,301,638DVC
266,car,0.86,car_1,434,210,657,422,si,0.61,506,315,620,341,6694GYV
266,car,0.79,car_14,341,201,417,280,no,0,0,0,0,0,
266,car,0.80,car_24,134,231,334,350,si,0.50,168,282,209,300,638DVC
267,car,0.86,car_1,434,210,657,422,si,0.61,506,315,620,341,6694GYV
267,car,0.80,car_14,343,202,418,278,no,0,0,0,0,0,
267,car,0.84,car_24,139,231,337,349,si,0.50,174,282,215,299,638DVC
268,car,0.87,car_1,433,210,657,422,si,0.61,505,315,615,341,6694GYV
268,car,0.81,car_14,346,202,420,276,no,0,0,0,0,0,
268,car,0.83,car_24,143,230,339,348,si,0.50,179,281,218,299,638DVC
269,car,0.87,car_1,434,211,657,422,si,0.61,506,315,609,341,6694GYV
269,car,0.80,car_14,347,201,420,275,no,0,0,0,0,0,
269,car,0.83,car_24,147,231,342,343,si,0.50,183,279,224,297,638DVC
270,car,0.87,car_1,433,212,657,422,si,0.61,506,315,599,341,6694GYV
270,car,0.78,car_14,349,201,421,273,no,0,0,0,0,0,
270,car,0.81,car_24,151,231,345,338,si,0.50,187,278,228,296,638DVC
271,car,0.87,car_1,434,211,656,422,si,0.61,506,316,592,340,6694GYV
271,car,0.75,car_14,351,202,422,273,no,0,0,0,0,0,
271,car,0.83,car_24,158,230,348,337,si,0.50,192,276,232,293,638DVC
272,car,0.87,car_1,434,212,656,423,si,0.67,505,316,617,341,6694GYV
272,car,0.70,car_14,354,202,422,272,no,0,0,0,0,0,
272,car,0.84,car_24,163,230,349,337,si,0.50,197,275,236,292,638DVC
273,car,0.87,car_1,433,212,656,423,si,0.50,505,316,616,341,6694GYV
273,car,0.69,car_14,356,202,423,273,no,0,0,0,0,0,
273,car,0.81,car_24,166,229,351,336,si,0.50,202,274,240,290,638DVC
274,car,0.87,car_1,432,214,656,423,si,0.60,504,316,618,341,6692GYV
274,car,0.71,car_14,357,202,428,272,no,0,0,0,0,0,
274,car,0.82,car_24,172,230,351,334,si,0.50,208,273,245,290,638DVC
275,car,0.87,car_1,431,213,657,423,si,0.50,504,315,610,340,6692GYV
275,car,0.73,car_14,359,202,430,270,no,0,0,0,0,0,
275,car,0.82,car_24,177,229,353,334,si,0.50,209,272,250,289,638DVC
276,car,0.87,car_1,431,212,657,423,si,0.43,503,315,607,341,6692GYV
276,car,0.74,car_14,359,201,431,270,no,0,0,0,0,0,
276,car,0.81,car_24,181,230,354,333,si,0.50,212,271,253,288,638DVC
277,car,0.88,car_1,430,212,657,423,si,0.38,503,315,611,341,6692GYV
277,car,0.74,car_14,360,201,432,270,no,0,0,0,0,0,
277,car,0.80,car_24,186,230,357,332,si,0.50,216,270,257,287,638DVC
278,car,0.88,car_1,430,212,656,422,si,0.33,502,315,607,340,6694GYV
278,car,0.72,car_14,360,201,431,269,no,0,0,0,0,0,
278,car,0.81,car_24,191,230,359,331,si,0.50,220,269,259,286,638DVC
279,car,0.88,car_1,430,212,656,422,si,0.40,502,315,602,340,6694GYV
279,car,0.74,car_14,361,201,431,269,no,0,0,0,0,0,
279,car,0.82,car_24,197,230,360,329,si,0.50,225,268,263,285,638DVC
280,car,0.88,car_1,431,212,655,422,si,0.45,503,315,592,340,6694GYV
280,car,0.75,car_14,364,200,430,269,no,0,0,0,0,0,
280,car,0.80,car_24,201,228,363,328,si,0.50,230,267,266,284,638DVC
280,person,0.51,person_34,658,195,686,285,no,0,0,0,0,0,
281,car,0.88,car_1,431,212,655,422,no,0,0,0,0,0,
281,car,0.73,car_14,367,200,431,268,no,0,0,0,0,0,
281,car,0.81,car_24,205,228,363,325,si,0.50,234,267,269,283,638DVC
